px1,px2,py1,py2,qx1,qx2,qy1,qy2,ax1,ax2,ay1,ay2
0,0,-5,-5,0,0,0,0,-1.0607,-1.0607,1.0607,1.0607
0,0,-5,-4.0909,0,0,0,0,-1.1609,-0.94986,1.1609,0.94986
0,0,-5,1.3636,0,0,0,0,-1.4471,0.39468,1.4471,-0.39468
0,0,-5,-3.1818,0,0,0,0,-1.2655,-0.80531,1.2655,0.80531
0,0,-5,-2.2727,0,0,0,0,-1.3655,-0.62071,1.3655,0.62071
0,0,-5,-1.3636,0,0,0,0,-1.4471,-0.39468,1.4471,0.39468
0,0,-5,0.45455,0,0,0,0,-1.4938,0.13581,1.4938,-0.1358
0,0,-5,-0.45455,0,0,0,0,-1.4938,-0.13581,1.4938,0.13581
0,0,-5,-5,0,0,0.16667,0,-1.0406,-1.0803,1.0406,1.0803
0,0,-5,1.3636,0,0,0.16667,0,-1.4454,0.40116,1.4454,-0.40116
0,0,-5,-4.0909,0,0,0.16667,0,-1.1452,-0.96874,1.1452,0.96874
0,0,-5,0.45455,0,0,0.16667,0,-1.4937,0.13783,1.4937,-0.13783
0,0,-5,-3.1818,0,0,0.16667,0,-1.2552,-0.82119,1.2552,0.82119
0,0,-5,-1.3636,0,0,0.16667,0,-1.4454,-0.40116,1.4454,0.40116
0,0,-5,-0.45455,0,0,0.16667,0,-1.4937,-0.13782,1.4937,0.13782
0,0,-5,-2.2727,0,0,0.16667,0,-1.3605,-0.63172,1.3605,0.63172
0,0,-5,-5,0,0,0.33333,0,-1.0212,-1.0987,1.0212,1.0987
0,0,-5,-4.0909,0,0,0.33333,0,-1.1306,-0.98583,1.1306,0.98583
0,0,-5,1.3636,0,0,0.33333,0,-1.4452,0.40177,1.4452,-0.40177
0,0,-5,0.45455,0,0,0.33333,0,-1.4937,0.13694,1.4937,-0.13694
0,0,-5,-1.3636,0,0,0.33333,0,-1.4452,-0.40177,1.4452,0.40177
0,0,-5,-2.2727,0,0,0.33333,0,-1.3577,-0.63771,1.3577,0.63771
0,0,-5,-0.45455,0,0,0.33333,0,-1.4937,-0.13694,1.4937,0.13694
0,0,-5,-5,0,0,0.5,0,-1.0023,-1.1159,1.0023,1.1159
0,0,-5,-4.0909,0,0,0.5,0,-1.1181,-0.99996,1.1181,0.99996
0,0,-5,1.3636,0,0,0.5,0,-1.4484,0.38992,1.4484,-0.38992
0,0,-5,-3.1818,0,0,0.33333,0,-1.2485,-0.83143,1.2485,0.83143
0,0,-5,-1.3636,0,0,0.5,0,-1.4484,-0.38992,1.4484,0.38992
0,0,-5,-0.45455,0,0,0.5,0,-1.4944,-0.12878,1.4944,0.12878
0,0,-5,0.45455,0,0,0.5,0,-1.4944,0.12878,1.4944,-0.12878
0,0,-5,-3.1818,0,0,0.5,0,-1.2446,-0.83718,1.2446,0.83718
0,0,-5,-2.2727,0,0,0.5,0,-1.359,-0.63485,1.359,0.63485
0,0,-5,-5,0,0,0.66667,0,-0.98383,-1.1323,0.98383,1.1323
0,0,-5,-4.0909,0,0,0.66667,0,-1.1093,-1.0096,1.1093,1.0096
0,0,-5,1.3636,0,0,0.66667,0,-1.4583,0.35134,1.4583,-0.35134
0,0,-5,-1.3636,0,0,0.66667,0,-1.4583,-0.35134,1.4583,0.35134
0,0,-5,-0.45455,0,0,0.66667,0,-1.3874,-0.10472,1.3874,0.10472
0,0,-5,0.45455,0,0,0.66667,0,-1.3874,0.10472,1.3874,-0.10472
0,0,-5,-3.1818,0,0,0.66667,0,-1.2447,-0.83714,1.2447,0.83714
0,0,-5,-4.0909,0,0,0.83333,0,-1.1058,-1.0135,1.1058,1.0135
0,0,-5,1.3636,0,0,0.83333,0,-1.3956,0.278,1.3956,-0.278
0,0,-5,-2.2727,0,0,0.66667,0,-1.367,-0.61758,1.367,0.61758
0,0,-5,-0.45455,0,0,0.83333,0,-1.2562,-0.070128,1.2562,0.070128
0,0,-5,-1.3636,0,0,0.83333,0,-1.3956,-0.278,1.3956,0.278
0,0,-5,0.45455,0,0,0.83333,0,-1.2562,0.070128,1.2562,-0.070129
0,0,-5,-3.1818,0,0,0.83333,0,-1.2495,-0.82984,1.2495,0.82984
0,0,-5,1.3636,0,0,1,0,-1.312,0.19464,1.312,-0.19464
0,0,-5,-2.2727,0,0,0.83333,0,-1.3829,-0.58106,1.3829,0.58106
0,0,-5,-4.0909,0,0,1,0,-1.1072,-1.012,1.1072,1.012
0,0,-5,-0.45455,0,0,1,0,-1.1292,-0.020594,1.1292,0.020594
0,0,-5,0.45455,0,0,1,0,-1.1292,0.020594,1.1292,-0.020594
0,0,-5,-1.3636,0,0,1,0,-1.312,-0.19464,1.312,0.19464
0,0,-5,-5,0,0,0.83333,0,-0.96626,-1.1471,0.9629,1.1499
0,0,-5,-3.1818,0,0,1,0,-1.2581,-0.81687,1.2581,0.81687
0,0,-5,1.3636,0,0,1.1667,0,-1.24,0.10984,1.24,-0.10984
0,0,-5,-2.2727,0,0,1,0,-1.4037,-0.52887,1.4037,0.52887
0,0,-5,-0.45455,0,0,1.1667,0,-1.0106,0.051334,1.0106,-0.051334
0,0,-5,0.45455,0,0,1.1667,0,-1.0106,-0.051332,1.0106,0.051333
0,0,-5,-1.3636,0,0,1.1667,0,-1.24,-0.10984,1.24,0.10984
0,0,-5,-4.0909,0,0,1.1667,0,-1.0958,-1.0218,1.0781,1.0402
0,0,-5,-3.1818,0,0,1.1667,0,-1.2673,-0.8025,1.2673,0.8025
0,0,-5,1.3636,0,0,1.3333,0,-1.1743,0.031209,1.1743,-0.03121
0,0,-5,-2.2727,0,0,1.1667,0,-1.4232,-0.47393,1.4232,0.47393
0,0,-5,-0.45455,0,0,1.3333,0,-0.90686,0.14921,0.90686,-0.14921
0,0,-5,0.45455,0,0,1.3333,0,-0.90686,-0.14922,0.90686,0.14922
0,0,-5,-1.3636,0,0,1.3333,0,-1.1743,-0.03121,1.1743,0.03121
0,0,-5,1.3636,0,0,1.5,0,-1.1095,-0.037759,1.1095,0.037759
0,0,-5,-0.45455,0,0,1.5,0,-0.81976,0.26068,0.81976,-0.26068
0,0,-5,0.45455,0,0,1.5,0,-0.81975,-0.26067,0.81975,0.26067
0,0,-5,-1.3636,0,0,1.5,0,-1.1095,0.037759,1.1095,-0.037759
0,0,-5,-3.1818,0,0,1.3333,0,-1.2434,-0.80092,1.2208,0.82643
0,0,-5,-5,0,0,1,0,-0.94962,-1.16,0.92914,1.1764
0,0,-5,-0.45455,0,0,1.6667,0,-0.74198,0.36597,0.74198,-0.36597
0,0,-5,0.45455,0,0,1.6667,0,-0.74198,-0.36597,0.74198,0.36597
0,0,-5,-4.0909,0,0,1.3333,0,-1.0888,-1.0317,1.0299,1.0905
0,0,-5,1.3636,0,0,1.6667,0,-1.0229,-0.064032,0.88911,0.056809
0,0,-5,-2.2727,0,0,1.3333,0,-1.4217,-0.42577,1.4216,0.42574
0,0,-5,-3.1818,0,0,1.5,0,-1.263,-0.80048,1.1637,0.91604
0,0,-5,-4.0909,0,0,1.5,0,-1.0679,-1.0402,0.93527,1.1527
0,0,-5,-1.3636,0,0,1.6667,0,-1.0228,0.063966,0.88913,-0.056825
0,0,-5,-2.2727,0,0,1.5,0,-1.3538,-0.41478,1.2096,0.41333
0,0,-5,-0.45455,0,0,1.8333,0,-0.67722,0.41618,0.53805,-0.40056
0,0,-5,1.3636,0,0,1.8333,0,-1.0289,-0.074927,0.55384,0.056773
0,0,-5,-5,0,0,1.1667,0,-0.93209,-1.1694,0.88315,1.2058
